char	in_cantonese_only
㖭	1
㨂	1
㩒	1
㭍	1
㴝	1
㷫	1
䄂	1
䆁	1
乛	1
乸	1
亅	1
仼	1
偲	1
僞	1
儍	1
儐	1
儺	1
冚	1
冧	1
凖	1
刧	1
卄	1
卽	1
厠	1
厹	1
吔	1
吿	1
呑	1
呔	1
呠	1
呯	1
咇	1
咼	1
唒	1
唓	1
唞	1
唥	1
唨	1
唪	1
唻	1
啋	1
啩	1
啹	1
喐	1
喥	1
喼	1
嗄	1
嗌	1
嗮	1
嗱	1
嘥	1
噃	1
噉	1
噏	1
噚	1
噥	1
噫	1
嚿	1
囇	1
囖	1
囯	1
埞	1
塱	1
塲	1
奀	1
妺	1
嬋	1
嬲	1
孌	1
孭	1
寃	1
尐	1
尢	1
屙	1
峮	1
幗	1
幪	1
廄	1
廐	1
廸	1
彊	1
徂	1
忟	1
怱	1
惗	1
惻	1
愨	1
慒	1
慜	1
慤	1
慼	1
懞	1
戇	1
戙	1
戥	1
戩	1
扙	1
扲	1
扺	1
抆	1
抌	1
抺	1
拃	1
捭	1
捽	1
掕	1
掟	1
掹	1
揈	1
揑	1
揞	1
揼	1
揾	1
搣	1
搥	1
搧	1
搲	1
搾	1
摑	1
摵	1
摶	1
摷	1
撘	1
撳	1
撾	1
擸	1
擻	1
攰	1
旯	1
旼	1
昅	1
暪	1
曚	1
曱	1
柙	1
柺	1
栢	1
梘	1
樖	1
橕	1
橛	1
橦	1
櫈	1
欅	1
殮	1
殻	1
沬	1
涷	1
淥	1
滘	1
炆	1
烚	1
焌	1
焫	1
燶	1
牀	1
犠	1
犽	1
狌	1
猁	1
猢	1
獌	1
璣	1
甴	1
痾	1
癆	1
癈	1
癦	1
癩	1
皁	1
睎	1
矖	1
砵	1
硤	1
祘	1
祼	1
禰	1
穏	1
竈	1
竉	1
笪	1
篋	1
糉	1
糭	1
紥	1
絀	1
綷	1
緲	1
縉	1
縊	1
縹	1
罅	1
翾	1
聼	1
脷	1
苖	1
蔴	1
薜	1
藪	1
蚑	1
蚛	1
蛉	1
蝪	1
蝻	1
螻	1
蟈	1
蠃	1
衊	1
衕	1
衚	1
衪	1
袓	1
裇	1
褸	1
覈	1
訌	1
訢	1
詎	1
誒	1
諉	1
諶	1
謖	1
譟	1
讉	1
趷	1
跣	1
踎	1
踫	1
踭	1
踼	1
蹌	1
躂	1
躄	1
躝	1
軑	1
軚	1
軻	1
輋	1
迖	1
逹	1
郃	1
鄕	1
鄴	1
鉸	1
錕	1
錡	1
鍚	1
鍠	1
鎅	1
鏝	1
鏹	1
鐐	1
鐡	1
鐧	1
鑌	1
閂	1
閙	1
閤	1
閧	1
閪	1
韁	1
韃	1
韮	1
頴	1
颺	1
餈	1
餬	1
餸	1
駖	1
駡	1
騫	1
騮	1
騾	1
骹	1
髀	1
鬈	1
鬨	1
鮫	1
鯇	1
鯪	1
鰂	1
鱒	1
鱲	1
鳯	1
鵠	1
鵪	1
鶉	1
鶳	1
鷄	1
麪	1
黐	1
