traditional,jyutping,definition,sentence1,sentence1_source,sentence2,sentence2_source
啲,di1,some/few/a little,佢订嗰啲餸有啲肥腻呀。,KaiFang,但我知有哩啲嘢睇。,HKCanCor
啲,di1,indefinite article before a noun,扣好啲纽，唔好咁咧气。,KaiFang,好似幾靚喎啲風景。,HKCanCor
啲,di1,converts base adjective to a comparative,佢去使好多錢買佢啲碟。,HKCanCor,鍾意狗大隻啲。,HKCanCor
咩,me1,final particle which transforms statements into questions that indicate doubt or surprise ,澳洲你都未去過咩？,HKCanCor,唔用得𡃉咩，啲郵票？,HKCanCor
咩,me1,what?,美國餐有咩好食啫。,Wikitionary,嗰陣時好似有咩龍船啊。,HKCanCor
𠺘,long2,"rinse, spread thin",記得𠺘乾淨個口。,Wikitionary,有时候就算冇热水都要𠺘几嘢。,KaiFang
𠺘,long2,"frame, shell, skeleton (of a structure or knowledge)",呢啲題目你唔使讀得太深入，大概知個𠺘就得㗎喇。,Words.HK,起樓要起個𠺘出嚟就好快，但做埋內部裝修就要多好多時間。,Words.HK
㗎,gaa2/gaa3/gaa4,final particle indicating emphasis or surprise,噉你一日都係飲奶茶先返工㗎?,HKCanCor,咪以為係拖板就插幾多嘢都得𠿪，會燒fuse㗎。,Words.HK
㗎,gaa2/gaa3/gaa4,sentence-final particle used in a question seeking information or confirmation,日本卡通來㗎？,HKCanCor,講廣東話㗎？,HKCanCor
櫼,cim1,thin strips of bamboo or wood,瘦仔表示好介意用自己條竹櫼腳對比啲小腿粗女會覺得好似象腿。,LIHKG,拎枝牙櫼嚟撩牙。,Words.HK
櫼,cim1,wedge,呢条罅要櫼实佢先至得。,KaiFang,榫頭鬆了就加個櫼。,Wikitionary
抰,joeng2,uncover,我依家就抰晒你啲衰嘢出嚟俾人睇！,Words.HK,唔通我哋啲嘢抰咗？,KaiFang
抰,joeng2,shake off,你唔抰开嚟点睇得真呢？,KaiFang,件衫好多尘，抰吓佢干净啲。,KaiFang
撚,nan2,play tricks on or toy with,将佢撚咗一次又一次，翳到佢死。,KaiFang,你仲咁信佢？畀人撚緊都唔知啊，傻仔！,Words.HK
撚,nin2,"twirl / twist with fingers/ hold/a wick/a type of plucking method for the pipa, a traditional chinese instrument",撚住个胶喉，瀄到鬼死咁远。,KaiFang,佢撚爆咗个波。,Words.HK
㨢,lang3,"bunch, a quantifier",一纊㨢鎖匙。,Words.HK,乜你一抽二㨢噉呀？快啲入嚟坐。,Words.HK
㨢,nang3,"rip open flesh/ cut flesh/  join, link, connect",隻狗條頸㨢住條繩。,Wikitionary,聖誕節㨢住新年，總共有十日假。,Words.HK
㨢,nang3,"to bring along, to carry along",兩公婆㨢住個仔一齊返鄉下。,Wikitionary,一张票可以㨢两个细蚊仔。,KaiFang
細佬,sai3 lou2,A term of address for boys whom one does not know well.,细佬初初入行，以后请各位多多关照。,KaiFang,细佬姓陈。,Words.HK
細佬,sai3 lou2,of sibling younger brother,我有個同學個細佬啊。,HKCanCor,細佬咁夜都未返屋企，唔怪之得阿媽心掛掛啦！,Words.HK
冚,kam2,"cover, lid / hide",你冚住張氈都凍呀？,HKCanCor,一個大浪冚埋嚟。,Words.HK
冚,ham6,all/whole/everyone,我自己儲，冚唪唥一路收返起晒。,HKCanCor,冚世界都走晒，你做咩仲喺度呀？,Words.HK
度,dou2,roughly/approximately/almost,呢个壶斟满咗有五斤度啦。,KaiFang,"嗱,你上網每部機一百蚊度,每個鐘頭兩蚊度。",HKCanCor
度,dou6,"used in location words , here / there / where/mandarin equivalent: 里lǐ 里",我哋喺度住咗咁耐，滚搅晒！,KaiFang,噉而家去边度好呀？,KaiFang
唔,m4,doesn't / not,佢噚晚唔夠瞓，搞到今日失晒魂。,Words.HK,今晚我唔喺屋企食飯。,Words.HK
唔,m4,expression of agreement or surprise,唔... 其實這個問題真的這麼多年都是沒有變過囉。,Youglish,唔...不如去嗰間餐廳吖！,Wikitionary
唔,m4,"used to form an A-not-A question, by reduplicating a word in a question",你可唔可以车我去地铁站呀？,Wikitionary,出面冻唔冻？,Words.HK
冇,mou2,"""not"" in yes-no questions about the current state or perfective aspect; used at the end of such questions",呢處有燈冇？開下燈睇下啦。,Words.HK,聽朝先陪你飲茶啦，好冇？,Words.HK
冇,mou5,to not have; to not own; to not possess,你冇女朋友？梗系唔信啦！……或者有。你唔知啫。,Words.HK,你份人冇啲同情心㗎！,Words.HK
冇,mou5,do not; have not done (at a temporal point); used before verbs or adjectives,落雨冇办法打波，唔知几吊瘾。,KaiFang,佢几个月都冇嚟。,Words.HK
冇,mou5,(in responses) it doesn't matter; no big deal; nothing important; nothing worth mentioning,冇，睇吓我畀你啲嘢用晒未啫。,Words.HK,冇啊，咪又系咁，简简单单又一日。,Words.HK
眼矇矇,ngaan5 mung4 mung4,bleary-eyed,睇清楚先啦眼矇矇咁。,LIHKG,瞓到眼矇矇嘅我原本諗住問佢而家幾點，但係把口就問咗個唔同嘅問題。,LIHKG
眼矇矇,ngaan5 mung4 mung4,blurring of vision,有時望嘢左眼矇矇哋合埋隻眼再打返開又好番。,LIHKG,覆診而家話眼角膜好翻晒，但睇遠野眼矇矇，係咪永遠恢復唔到正常視力？,LIHKG
西北風,sai1 bak1 fung1,northwest wind,西北風係由西北吹來嘅風。,Wikipedia,西北風有呢個威力都好勁啦。,LIHKG
西北風,sai1 bak1 fung1,means 'air / nothing' when used in the expression ' eat northwest wind',阿松佢唔识煮饭又冇嗮杯面，今晚实系食西北风啦。,Words.HK,等揭不開鍋，大人孩子喝西北風去！,ZDic
𧨾,tam3,to cheer up; to make someone happy,奀咕咕，姐姐你唔好嬲啦，𧨾返𧨾返！,Words.HK,佢今日好唔開心呀，我要諗辦法𧨾返佢至得。,Words.HK
𧨾,tam3,to cajole; to coax,條契弟話咁易又𧨾到個鬼妹上牀。,Words.HK,佢終於𧨾掂佢老細加佢人工。,Words.HK
