traditional,simplified,pinyin,jyutping,definition
㕵,㕵,guo2,gwok3,the sound of a dog barking
㕵,㕵,guo2,gwok3,sound of a god barking
㗎,㗎,jia4,gaa4,a derogatory way to address someone who is Japanese
㗎,㗎,jia4,gaa3/ gaa4," gaa4} /sentence-final particle, contraction of ""嘅呀"" (Cantonese), to express doubt / reservation / emphasis / disapproval/see also 嘅kài [嘅]"
㗎,㗎,jia4,gaa2,"sentence-final particle, contraction of ""嘅呀"" (Cantonese), to express doubt / reservation / emphasis / disapproval/see also 嘅kài [嘅]"
㗎啦,㗎啦,jia4 la5,gaa3 laa3,modal particle used as a reminder or when giving advice
㗎啦,㗎啦,jia4 la5,gaa3 laa1,modal particle used to assert a fact (to imply that there are no alternatives)
㗎啦,㗎啦,jia4 la5,gaa3 laa4,modal particle to express a slight surprise to something (or with a questioning tone)
㨢,㨢,pi1,nang3,"to rip open flesh/to cut flesh/(Cant.) to join, link, connect"
㨢,㨢,pi1,lang3,"bunch, a quantifier"
㷫,㷫,qing3,hing3,to bake or dry by fire
㷫,㷫,qing3,hing3,hot/scalding/feverish/angry/furious/ferocious
一字咁淺,一字咁浅,yi1 zi4 gan1 qian3,jat1 zi6 gam2 cin2,"as simple as the word ""one"""
一字咁淺,一字咁钱,yi1zi4 gan1 qian2,jat1 zi6 gam3 cin2,as easy as ABC and 123 [colloquial]
三味,三味,san1wei4,saam1 mei2,"three types of sexual services, fellatio, anilingus and sexual intercourse [colloquial]"
三味,三味,san1wei4,saam1 mei6,three types of flavours [written and colloquial]
上莊,上庄,shang4 zhuang1,soeng6 zong1,the previous committee member of a society [colloquial]
上莊,上庄,shang4 zhuang1,soeng5 zong1,to become a committee member of a society
仱,仱,qian2,kim4,a type of ancient music of the northern Chinese ethnic minorities
仱,仱,qian2,ging1,"same as the word矜, pity / restrained / self-important"
俹,俹,ya4,aa3,newsc
俹,俹,ya4,ngaa3,to rely on/to depend on
僆,𫢪,lian4,leng1,young and naive
僆,僆,lian4,lin5 / lin4, lin4} /chick/twin
兩味,两味,liang3 wei4,loeng5 mei6,two types of flavours [written and colloquial]
兩味,两味,liang3 wei4,loeng5 mei2,"three types of sexual services, fellatio and sexual intercourse [colloquial]"
冇,冇,mao3,mou5,(adverb) 1. no; 2. nothing
冇,冇,mao3,mou5,to not have (Cantonese)/Mandarin equivalent: 没有méiyǒu [没有]
冚,冚,kan3,kam2,"(Cant.) cover, lid/to raid on illegal dens/to slap/to hide"
冚,冚,kan3,ham6,all/whole/everyone
冧,冧,lin2,lam3,(Cantonese) to topple/to collapse/to kill someone
冧,冧,lin2,lam1,to coax/flower bud/to sweet talk/to have a way with/delighted
前嗰排,前嗰排,qian2 g5 pai2,cin4 go2 paai4,some time ago
前嗰排,前嗰排,qian2 g5 pai2,cin4 go2 paai4,the front row
勼,勼,jiu1,gau1,to assemble/to gather/to collect
勼,勼,jiu1,gau1 / kau1, kau1} /[Cantonese profanity] penis
呢排,呢排,ne5 pai2,ni1 paai4,These days; this period
