traditional,jyutping,definition,sentence1,sentence1_source,sentence2,sentence2_source
啲,di1,some/few/a little,佢訂嗰啲餸有啲肥膩呀。,KaiFang,但我知有哩啲嘢睇。,HKCanCor
啲,di1,indefinite article before a noun,扣好啲紐，唔好咁咧氣。,KaiFang,好似幾靚喎啲風景。,HKCanCor
啲,di1,converts base adjective to a comparative,佢去使好多錢買佢啲碟。,HKCanCor,鍾意狗大隻啲。,HKCanCor
咩,me1,final particle which transforms statements into questions that indicate doubt or surprise ,澳洲你都未去過咩？,HKCanCor,唔用得𡃉咩，啲郵票？,HKCanCor
咩,me1,what?,美國餐有咩好食啫。,Wikitionary,嗰陣時好似有咩龍船啊。,HKCanCor
𠺘,long2,"rinse, spread thin",記得𠺘乾淨個口。,Wikitionary,有時候就算冇熱水都要𠺘幾嘢。,KaiFang
𠺘,long2,"frame, shell, skeleton (of a structure or knowledge)",呢啲題目你唔使讀得太深入，大概知個𠺘就得㗎喇。,Words.HK,起樓要起個𠺘齣嚟就好快，但做埋內部裝修就要多好多時間。,Words.HK
㗎,gaa2/gaa3/gaa4,final particle indicating emphasis or surprise,噉你一日都係飲奶茶先返工㗎?,HKCanCor,咪以為係拖闆就插幾多嘢都得𠿪，會燒fuse㗎。,Words.HK
㗎,gaa2/gaa3/gaa4,sentence-final particle used in a question seeking information or confirmation,日本卡通來㗎？,HKCanCor,講廣東話㗎？,HKCanCor
櫼,cim1,thin strips of bamboo or wood,瘦仔錶示好介意用自己條竹櫼腳對比啲小腿粗女會覺得好似象腿。,LIHKG,拎枝牙櫼嚟撩牙。,Words.HK
櫼,cim1,wedge,呢條罅要櫼實佢先至得。,KaiFang,榫頭鬆瞭就加個櫼。,Wikitionary
抰,joeng2,uncover,我依傢就抰曬你啲衰嘢齣嚟俾人睇！,Words.HK,唔通我哋啲嘢抰咗？,KaiFang
抰,joeng2,shake off,你唔抰開嚟點睇得真呢？,KaiFang,件衫好多塵，抰嚇佢乾淨啲。,KaiFang
撚,nan2,play tricks on or toy with,將佢撚咗一次又一次，翳到佢死。,KaiFang,你仲咁信佢？畀人撚緊都唔知啊，傻仔！,Words.HK
撚,nin2,"twirl / twist with fingers/ hold/a wick/a type of plucking method for the pipa, a traditional chinese instrument",撚住個膠喉，瀄到鬼死咁遠。,KaiFang,佢撚爆咗個波。,Words.HK
㨢,lang3,"bunch, a quantifier",一纊㨢鎖匙。,Words.HK,乜你一抽二㨢噉呀？快啲入嚟坐。,Words.HK
㨢,nang3,"rip open flesh/ cut flesh/  join, link, connect",隻狗條頸㨢住條繩。,Wikitionary,聖誕節㨢住新年，總共有十日假。,Words.HK
㨢,nang3,"to bring along, to carry along",兩公婆㨢住個仔一齊返鄉下。,Wikitionary,一張票可以㨢兩個細蚊仔。,KaiFang
細佬,sai3 lou2,A term of address for boys whom one does not know well.,細佬初初入行，以後請各位多多關照。,KaiFang,細佬姓陳。,Words.HK
細佬,sai3 lou2,of sibling younger brother,我有個同學個細佬啊。,HKCanCor,細佬咁夜都未返屋企，唔怪之得阿媽心掛掛啦！,Words.HK
冚,kam2,"cover, lid / hide",你冚住張氈都凍呀？,HKCanCor,一個大浪冚埋嚟。,Words.HK
冚,ham6,all/whole/everyone,我自己儲，冚唪唥一路收返起曬。,HKCanCor,冚世界都走曬，你做咩仲喺度呀？,Words.HK
度,dou2,roughly/approximately/almost,呢個壺斟滿咗有五斤度啦。,KaiFang,"嗱,你上網每部機一百蚊度,每個鐘頭兩蚊度。",HKCanCor
度,dou6,"used in location words , here / there / where/mandarin equivalent: 里lǐ 里",我哋喺度住咗咁耐，滾攪曬！,KaiFang,噉而傢去邊度好呀？,KaiFang
唔,m4,doesn't / not,佢噚晚唔夠瞓，搞到今日失曬魂。,Words.HK,今晚我唔喺屋企食飯。,Words.HK
唔,m4,expression of agreement or surprise,唔... 其實這個問題真的這麼多年都是沒有變過囉。,Youglish,唔...不如去嗰間餐廳吖！,Wikitionary
唔,m4,"used to form an A-not-A question, by reduplicating a word in a question",你可唔可以車我去地鐵站呀？,Wikitionary,齣麵凍唔凍？,Words.HK
冇,mou2,"""not"" in yes-no questions about the current state or perfective aspect; used at the end of such questions",呢處有燈冇？開下燈睇下啦。,Words.HK,聽朝先陪你飲茶啦，好冇？,Words.HK
冇,mou5,to not have; to not own; to not possess,你冇女朋友？梗係唔信啦！……或者有。你唔知啫。,Words.HK,你份人冇啲同情心㗎！,Words.HK
冇,mou5,do not; have not done (at a temporal point); used before verbs or adjectives,落雨冇辦法打波，唔知幾吊癮。,KaiFang,佢幾個月都冇嚟。,Words.HK
冇,mou5,(in responses) it doesn't matter; no big deal; nothing important; nothing worth mentioning,冇，睇嚇我畀你啲嘢用曬未啫。,Words.HK,冇啊，咪又係咁，簡簡單單又一日。,Words.HK
