traditional,simplified,pinyin,jyutping,definition
兩味,两味,liang3 wei4,loeng5 mei6,two types of flavours
兩味,两味,liang3 wei4,loeng5 mei2,"three types of sexual services, fellatio and sexual intercourse"
啲,啲,di1,di1,some/few/a little /a disco
啲,啲,di1,di1,one's belonging
強記,强记,qiang2 ji4,koeng4 gei3,"keung kee, name of a restaurant"
強記,强记,qiang2 ji4,koeng5 gei3,memorize by rote
食飽無憂米,食饱无忧米,shi2 bao3 wu1 you1 mi3,sik6 baau2 mou4 jau1 mai5,live a comfortable life and have nothing  worry about
食飽無憂米,食饱无忧米,shi2 bao3 wu1 you1 mi3,sik6 baau2 mou4 jau1 mai5,be full and need not worry for food
咩,咩,mie1,me1,the bleating of sheep/final particle which transforms statements into questions that indicate doubt or surprise /what/whatever
咩,咩,mie1,me1,what?
軑,轪,dai4,daai6,wheel/the hood cover of the front axle
軑,轪,dai4,daai6,wheel
𠺘,𠺘,lang4,long2,hard  get along with/unfriendly
𠺘,𠺘,lang4,long2,"rinse, spread thin"
坶,坶,mu3,muk6,part of an anciet place name
坶,坶,mu3,muk6,an ancient name for a city during shang dynasty
㗎,㗎,jia4,gaa3/ gaa4,"sentence-final particle, contraction of ""嘅呀"" ,  express doubt / reservation / emphasis / disapproval/see also 嘅kài 嘅"
㗎,㗎,jia4,gaa4,a derogatory way  address someone who is japanese
櫼,櫼,jian1,cim1,slender
櫼,櫼,jian1,cim1,wood block / wedge/a toothpick
脟,脟,lie4,lyut3,rib muscle/intestinal fat
脟,脟,lie4,lyun5,"an alternative form for 臠, sliced meat"
抰,抰,yang1,joeng2,uncover
抰,抰,yang1,joeng2,shake off
抰,抰,yang1,joeng2,unwrap and display
埲,埲,beng3,pung1,"see 塕埲wěngběng 塕埲, dust storm"
埲,埲,beng3,bung6,classifier for walls
埲,埲,beng3,bong6,part of a place name
僆,僆,lian4,lin5 / lin4,lin4} /chick/twin
僆,𫢪,lian4,leng1,young and naive
趑車轉,趑车转,Zi1 che1 zhuan3,ci1 ce1 zyun3,run round in circles
趑車轉,趑车转,zi1 che1 zhuan3,zi1 ce1 zyun2,spinning around
趑車轉,趑车转,Zi1 che1 zhuan3,ci1 ce1 zyun3,go back and forth
撚,撚,nian3,nan2,"play tricks on or toy with/delicate/exquisite / be good at/dick, the penis/fucking"
撚,撚,nian3,nin2,"twirl / twist with fingers/ hold/a wick/a type of plucking method for the pipa, a traditional chinese instrument"
茺,茺,chong1,cung1,motherwort
茺,茺,chong1,cung1,leonurus japonicus
㨢,㨢,pi1,lang3,"bunch, a quantifier"
㨢,㨢,pi1,nang3,"rip open flesh/ cut flesh/  join, link, connect"
細佬,细佬,Xi4 lao3,sai3 lou2,for penis
細佬,细佬,Xi4 lao3,sai3 lou2,of sibling younger brother
篸,篸,can3,caam2,a type of dustpan/open ended loop in finger prints/hod/scuttle/a basket
篸,篸,can3,zaam1,a hairclasp/ wear in hair
篸,篸,can3,cam1,vertical bamboo flute/staggered
蓨,蓨,tiao1,tiu1,tasselflower emilia sonchifolia
蓨,蓨,tiao1,sau1,seedlin
蓨,蓨,tiao1,tiu4,ancient place name in hebei province
冚,冚,kan3,kam2,"cover, lid/ raid on illegal dens/ slap/ hide"
冚,冚,kan3,ham6,all/whole/everyone
田雞東,田鸡东,Tian2 ji1 dong1,tin4 gai1 dung1,go dutch
田雞東,田鸡东,tian2 Ji1 dong1,tin4 gai1 dung1,"tang lai tung, name of a triad member"
田雞東,田鸡东,tian2 Ji1 dong1,tin4 gai1 dung1,splitting the bill at meal gatherings
姩,姩,nian4,nin6,beautiful girl
姩,姩,nian4,nin1,breast/milk
姩,姩,nian4,nin4,used in female names
攎,攎,Lu2,lo4,selection
攎,攎,Lu2,lo4,picking
攎,攎,lu2,lou4,exercise restraint
攎,攎,lu2,lou4,curb
攎,攎,lu2,lou4,take hold
窉,窉,bing3,beng3,hide things/ conceal
窉,窉,bing3,bing2,the third month in lunar calender/fright/cave
喥,喥,du4,dou2,roughly/approximately/almost
喥,喥,du4,dou6,"used in location words , here / there / where/mandarin equivalent: 里lǐ 里"
撉,蹾,dun1,dan3,"put something down suddenly, hitting the ground with a lot of force"
撉,撉,dun1,dan3,strike with the fist/ thump/ jolt
採擷,采撷,cai3 xie2,coi2 git3,pick
採擷,采撷,cai3 xie2,coi2 kit3,gather
採擷,采撷,cai3 xie2,coi2 git3,select
露械,露械,Lou4 xie4,lou6 haai2,act of male in showing his genitals in public
露械,露械,lu4 xie4,lou6 haai6,show weapon
露械,露械,Lou4 xie4,lou6 haai2,flash indecent exposure
唔,唔,wu2,m4,doesn't
唔,唔,wu2,m4,oh expression of agreement or surprise/ not/ hold in mouth/ bite
坢,坢,ban4,bun6,muck
坢,坢,ban4,pun5,slope
坢,坢,ban4,pun5,even
冇,冇,mao3,mou5,1. no
冇,冇,mao3,mou5,not have /mandarin equivalent: 没有méiyǒu 没有
行檔,行档,hang2 dang4,hong4 dong3,trade or profession
行檔,行档,hang2 dang4,hong4 dong3,hope
行檔,行档,hang2 dang4,hong4 dong3,the role types in traditional chinese opera
行檔,行档,hang2 dang4,hong4 dong3,expectation
眼矇矇,眼蒙蒙,yan3 meng2 meng2,ngaan5 mung4 mung4,bleary-eyed
眼矇矇,眼矇矇,Yan3 meng2 meng2,ngaan5 mung4 mung4,blurring of vision
噆,噆,zan3,cam3,long-winded
噆,噆,zan3,caam2,bite/ sting/ hold in the mouth
噆,噆,zan3,cam3,wordy
西北風,西北风,xi1 bei3 feng1,sai1 bak1 fung1,northwest wind
西北風,西北风,xi1 bei3 feng1,sai1 bak1 fung1,means 'air / nothing' when used in the expression ' eat northwest wind'
生部,生部,sheng1 bu4,saang1 bou2,describe something unfamiliar such as a person or environment
生部,生部,sheng1 bu4,sang1 bou6,kangxi radical 100
𧨾,𧨾,shan2,tam,cheat
𧨾,𧨾,shan2,tam,trick
𧨾,𧨾,shan2,tam3,"fool, trick, cheat, cajore, lure, sweet-talk, pacify someone who is angry"
𧨾,𧨾,shan2,tam,lure
𧨾,𧨾,shan2,tam,fool
𧨾,𧨾,shan2,tam,sweet-talk
油瓶,油瓶,you2 ping2,jau4 ping4,oil bottle
油瓶,油瓶,you2 ping2,jau4 peng2,step children
噏,噏,xi1,kap1,1. say
噏,噏,xi1,kap1,2. prattle on
噏,噏,xi1,ap1,gossip/ babble / talk nonsense
𦧲,𦧲,"",loe1,"dribble, spit"
𦧲,𦧲,"",loe2,nag
𦧲,𦧲,"",loe2,pester
俹,俹,ya4,aa3,newsc
俹,俹,ya4,ngaa3,rely on/ depend on
戇居,戆居,zhuang4 ju1,ngong6 geoi1,silly
戇居,戆居,zhuang4 ju1,ngong6 geoi1,asinine
戇居,戆居,zhuang4 ju1,ngong6 geoi1,daft
戇居,戆居,zhuang4 ju1,ngong6 geoi1,absurd
繑,繑,qiao1,hiu1,entwine/ cross one's arms or legs/ loop one's arm into the crook of someone's arm
繑,繑,qiao1,hiu1,sew
禁色,禁色,jin4 se4,kam1 sik1,a long lasting color that doesn't wear off or fade away easily
禁色,禁色,jin4 se4,gam3 sik1,not allow  have sex
岋,岋,e4,ngap6,shaky
岋,岋,e4,ngap6,swing or shake
唔熟唔食,唔熟唔食,n2 shu2 n2 shi2,m4 suk6 m4 zi6,cheating people who are close  you for benefits
唔熟唔食,唔熟唔食,n2 shu2 n2 shi2,m4 dak1 cit3,not being able  make it in time
講耶穌,讲耶稣,Jiang3 Ye1 su1,gong2 je4 sou1,lecture
講耶穌,讲耶稣,Jiang3 Ye1 su1,gong2 je4 sou1,preach
講耶穌,讲耶稣,Jiang3 Ye1 su1,gong2 je4 sou1,bull shit about usually when referring  talk that others are not interested in or they consider  be a waste of time
呢排,呢排,ne5 pai2,ni1 paai4,lately
呢排,呢排,ne5 pai2,ni1 paai4,this period
呢排,呢排,ne5 pai2,ni1 paai4,these days
㗎啦,㗎啦,jia4 la5,gaa3 laa3,modal particle used as a reminder or when giving advice
㗎啦,㗎啦,jia4 la5,gaa3 laa4,modal particle  express a slight surprise  something or with a questioning tone
㗎啦,㗎啦,jia4 la5,gaa3 laa1,modal particle used  assert a fact  imply that there are no alternatives
三味,三味,san1wei4,saam1 mei2,"three types of sexual services, fellatio, anilingus and sexual intercourse"
三味,三味,san1wei4,saam1 mei6,three types of flavours
摵,摵,she4,cik1,"pull, lift up/ carry"
摵,摵,she4,saak3,bare branches with fallen leaves
迾,迾,lie4,lit6,line up  guard against
迾,迾,lie4,laat6,row / line
冧,冧,lin2,lam1,coax/flower bud/ sweet talk/ have a way with/delighted
冧,冧,lin2,lam3,topple/ collapse/ kill someone
瘦骨如柴,瘦骨如柴,shou4 gu3 ru2 chai2,sau3 gwat1 jyu4 caai4,as thin as a stick
瘦骨如柴,瘦骨如柴,Shou4 gu3 ru2 chai2,sau3 gwat1 jyu4 caai4,skinny
奅,奅,pao4,paau3,lie
奅,奅,pao4,paau3,something that is big but not firm and empty
奅,奅,pao4,paau3,"empty and big/boasting, exaggerating/archaic form of cannon"
勼,勼,jiu1,gau1,assemble/ gather/ collect
勼,勼,jiu1,gau1 / kau1,kau1} /cantonese profanity penis
驍勇,骁勇,xiao1 yong3,hiu1 jung5,valiant
驍勇,骁勇,xiao1 yong3,hiu1 jung5,brave
落臺,落台,luo4 tai2,lok6 toi4,resign
落臺,落台,luo4 tai2,lok6 toi4,step down
落臺,落台,luo4 tai2,lok6 toi4,to leave the stage
鬱積,郁积,yu4 ji1,wat1 zik1,smouldering
鬱積,郁积,yu4 ji1,wat1 zik1,pent-up
惡死,恶死,e4 si3,ok3 sei2,mean
惡死,恶死,e4 si3,ok3 sei2,hard  get along with
惡死,恶死,e4 si3,ok3 sei2,unkind
惡死,恶死,e4 si3,ok3 sei2,"very scary, fierce"
惡死,恶死,e4 si3,ok3 sei2,malicious
掹,掹,meng5,mang3,flee/ run away
掹,掹,meng5,maang1,pluck/ pull/ pull out/ hold
捵,捵,chen1,can2,stretched/ deliberately make things difficult
